                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3137,                 1.8685,                 1.6666,                0.45514,                0.46184,                0.44649,                0.22033,                 1.7244,                  1.897,                 2.1267,             0.00041551,             0.00041551,             0.00041551
                      2,                 1.3707,                 1.7144,                 1.6936,                 0.4818,                0.37441,                0.36801,                0.18516,                 1.7615,                 2.6542,                 2.2029,              0.0008157,              0.0008157,              0.0008157
                      3,                 1.3771,                 1.7269,                 1.7086,                0.50091,                0.51277,                0.48545,                0.26604,                 1.6714,                 1.7449,                  2.137,              0.0011994,              0.0011994,              0.0011994
                      4,                  1.341,                  1.664,                 1.6735,                0.67919,                0.56147,                0.62664,                0.31377,                 1.6969,                 1.5881,                 2.0889,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.2729,                 1.5565,                 1.6143,                0.70768,                0.55383,                0.62646,                0.36365,                 1.4624,                 1.5193,                 1.9009,               0.001151,               0.001151,               0.001151
                      6,                 1.2399,                 1.4559,                 1.5895,                0.72683,                0.58535,                0.68596,                0.39304,                 1.4341,                 1.3562,                 1.8433,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.2117,                 1.3809,                 1.5598,                0.76771,                0.60393,                0.73611,                0.44706,                 1.3378,                 1.2196,                 1.7287,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.1805,                 1.3533,                 1.5409,                 0.7767,                0.54404,                0.68384,                0.41299,                 1.3761,                 1.3314,                 1.7625,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.1603,                 1.2916,                 1.5257,                0.75978,                0.67626,                0.76156,                0.46706,                  1.354,                 1.0994,                 1.7574,               0.001052,               0.001052,               0.001052
                     10,                 1.1474,                 1.2531,                 1.5044,                0.69449,                0.65995,                0.72734,                0.44722,                  1.353,                 1.2243,                 1.7331,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.1318,                 1.2143,                 1.4984,                0.74461,                0.69627,                 0.7701,                0.49031,                 1.2766,                 1.0949,                 1.6829,              0.0010025,              0.0010025,              0.0010025
                     12,                  1.094,                 1.1393,                 1.4641,                0.64639,                0.65509,                0.71409,                0.43748,                 1.3662,                 1.1804,                 1.7291,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.1073,                 1.1395,                 1.4731,                0.78243,                0.66727,                0.77165,                0.49948,                 1.2602,                 1.0456,                 1.6819,               0.000953,               0.000953,               0.000953
                     14,                 1.0979,                 1.0983,                 1.4619,                0.77474,                0.68891,                0.77844,                0.49254,                 1.2735,                 1.0671,                 1.6478,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.0793,                 1.0618,                 1.4498,                0.80962,                0.74655,                 0.8318,                0.54724,                 1.2212,                 0.9376,                 1.6161,              0.0009035,              0.0009035,              0.0009035
                     16,                  1.071,                  1.065,                 1.4431,                0.80427,                0.72627,                0.81976,                0.53203,                 1.2316,                0.95629,                 1.6151,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.0537,                 1.0426,                 1.4303,                0.79485,                0.73471,                0.82023,                0.54344,                 1.1798,                0.94449,                 1.5872,               0.000854,               0.000854,               0.000854
                     18,                 1.0432,                 1.0262,                 1.4239,                0.83018,                0.71615,                0.82706,                0.54045,                 1.2282,                0.93157,                 1.6208,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.0267,                0.97327,                 1.4052,                0.80557,                0.78042,                 0.8395,                0.55114,                 1.2127,                0.86485,                 1.5921,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.0143,                0.96471,                 1.3942,                0.80973,                0.77508,                0.84507,                0.55479,                 1.2479,                0.89022,                 1.6349,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.0036,                0.92772,                 1.3913,                0.79129,                 0.7664,                0.83241,                0.55699,                 1.2006,                0.89278,                 1.5981,               0.000755,               0.000755,               0.000755
                     22,                 1.0027,                0.92185,                 1.3841,                0.81266,                 0.7846,                0.84375,                0.56216,                 1.1792,                  0.858,                 1.5918,             0.00073025,             0.00073025,             0.00073025
                     23,                 0.9949,                0.90014,                 1.3849,                0.82695,                0.75199,                 0.8404,                0.55719,                 1.1969,                0.85897,                 1.5945,              0.0007055,              0.0007055,              0.0007055
                     24,                0.98783,                0.89624,                  1.372,                0.84702,                 0.7613,                0.85577,                0.58416,                 1.1852,                0.85529,                   1.59,             0.00068075,             0.00068075,             0.00068075
                     25,                  0.975,                0.88013,                 1.3669,                0.86197,                0.73995,                0.85605,                0.57324,                 1.1931,                0.81953,                  1.585,               0.000656,               0.000656,               0.000656
                     26,                0.96711,                0.85687,                  1.355,                0.81826,                 0.7787,                0.85761,                0.56943,                 1.2076,                0.84802,                 1.6012,             0.00063125,             0.00063125,             0.00063125
                     27,                0.95577,                0.83069,                  1.349,                0.79635,                0.81691,                0.85894,                0.58229,                 1.1808,                0.80024,                 1.5714,              0.0006065,              0.0006065,              0.0006065
                     28,                 0.9486,                0.81361,                 1.3437,                0.82139,                0.77942,                0.84657,                0.57374,                 1.1621,                0.82758,                 1.5565,             0.00058175,             0.00058175,             0.00058175
                     29,                0.94246,                0.80709,                 1.3414,                0.81566,                0.78476,                0.85643,                0.58684,                 1.1564,                0.80328,                 1.5527,               0.000557,               0.000557,               0.000557
